Device,Years,Weeks,Days,Hours
ipdsl-gto-pedromoreno-43,0,12,3,15
ipdsl-gro-hidalgo-36,0,17,0,16
ipdsl-mex-culhuacan-69,1,13,6,17
ipdsl-chi-centauro-13,0,5,0,16
ipdsl-edo-naucalpan-3,0,6,6,16
ipdsl-mex-balbuena-3,0,12,6,16
ipdsl-coa-monclova-16,0,36,1,15
ipdsl-pue-fuertes-68,1,11,3,17
ipdsl-bcs-snjosecabo-20,0,5,6,13
ipdsl-ags-vinedo-15,0,23,6,16
ipdsl-edo-satelite-3,0,17,1,16
ipdsl-mor-mirador-36,0,12,1,16
ipdsl-pue-ctp-61,0,7,6,16
ipdsl-jal-dominguez-2,0,5,3,16
ipdsl-pue-ctp-60,0,18,1,16
ipdsl-nvl-valle-16,0,4,0,15
ipdsl-nvl-santafe-27,1,8,6,16
ipdsl-nvl-anahuac-36,0,12,3,17
ipdsl-nvl-anahuac-38,0,23,4,16
ipdsl-jal-ctg-74,0,6,0,16
ipdsl-mex-tlahuac-5,0,1,0,16
ipdsl-tam-padremier-32,0,12,5,15
ipdsl-mex-xochimilco-5,0,6,0,16
ipdsl-mex-lago-5,0,24,0,16
bb-bcn-piopico-22,0,34,5,10
bb-mex-ctsj-61 uptime 1 ,0,46,0,16
bb-nvl-mayo-86 uptime 1 ,0,50,0,15
bb-jal-tlaquepaque-65 uptime 2 ,0,41,4,17
bb-son-yanez-70 uptime 2 ,0,31,4,16
bb-son-garmendia-48,0,0,5,14
bb-pue-fuertes-67,2,0,4,18
bb-nvl-revolucion-65,1,37,6,15
bb-mex-culhuacan-6,0,1,4,16
bb-pue-ctp-57,1,48,3,16
bbint-baires-olleros-11,0,28,6,18
bbint-baires-juangaray-8,0,52,0,18
bb-miami-americas-25,0,28,6,16
bb-la-grand-7,1,0,0,16
bb-dallas-bryan-19,0,28,4,17
bb-la-onewilshire-17,2,4,5,18
bb-dallas-bryan-18,2,3,0,15
bb-la-onewilshire-16,0,40,3,13
bbint-miami-americas-21,0,51,0,17
bbint-miami-americas-20,1,0,6,18
bb-bcn-arbol-15,0,37,4,14
