HostName,years,Weeks,BGP_Mem
ipdsl-mor-zapata-10,0,4,6
ipdsl-dgo-zarco-22,0,17,30
ipdsl-qoo-kukulcan-29,0,12,16
ipdsl-ver-petrolera-13,0,5,7
ipdsl-ver-mocambo-30,1,14,77
ipdsl-edo-nevado-47,1,14,84
ipdsl-qoo-kukulcan-30,1,14,78
ipdsl-son-yanez-67,0,24,43
ipdsl-jal-fresno-6,0,6,6
ipdsl-ver-mocambo-29,0,3,4
ipdsl-chi-copernico-56,0,8,10
ipdsl-jal-lasfuentes-34,0,6,6
ipdsl-mex-sanjeronimo-8,0,12,17
ipdsl-nvl-mayo-89,1,13,76
ipdsl-mex-bosques-8,1,8,77
ipdsl-gto-aztecas-40,0,17,31
ipdsl-jal-tequila-1,1,14,72
ipdsl-jal-fresno-7,0,13,21
ipdsl-nvl-revolucion-72,1,13,72
ipdsl-jal-tepatitlan-9,0,36,69
ipdsl-jal-tlaquepaque-67,1,13,76
ipdsl-chs-tuxtla-31,0,6,8
ipdsl-tlx-staana-11,0,0,4
ipdsl-mex-popocatepetl-84,0,4,6
ipdsl-jal-lasfuentes-36,0,6,7
ipdsl-nvl-valle-17,1,20,84
ipdsl-mor-mirador-35,0,4,7
ipdsl-mex-cdadazteca-6,0,12,16
ipdsl-jal-zapopan-5,0,12,17
ipdsl-mex-culhuacan-68,0,4,4
ipdsl-gto-pedromoreno-46,0,5,7
ipdsl-ver-pozarica-20,0,18,30
ipdsl-qro-corregidora-39,1,21,81
ipdsl-mex-popocatepetl-79,0,6,5
ipdsl-nvl-mayo-90,1,12,77
ipdsl-slp-colonias-5,0,6,5
ipdsl-cam-campeche-15,0,5,5
ipdsl-chs-tuxtla-30,0,18,43
ipdsl-mex-roma-82,0,5,6
ipdsl-mex-ctsj-65,0,6,5
ipdsl-mex-culhuacan-70,1,9,72
ipdsl-gto-pedromoreno-44,0,4,6
ipdsl-pue-ctp-59,0,12,20
ipdsl-mex-xochimilco-4,0,7,6
ipdsl-slp-alameda-38,1,13,92
ipdsl-mex-nextengo-131,0,4,4
ipdsl-jal-escritores-3,0,4,5
ipdsl-edo-cuautitlan-46,0,18,32
ipdsl-gto-pedromoreno-43,0,12,19
ipdsl-gro-hidalgo-36,0,17,45
ipdsl-mex-culhuacan-69,1,14,72
ipdsl-chi-centauro-13,0,5,5
ipdsl-edo-naucalpan-3,0,7,6
ipdsl-mex-balbuena-3,0,13,19
ipdsl-coa-monclova-16,0,36,15
ipdsl-pue-fuertes-68,1,11,41
ipdsl-bcs-snjosecabo-20,0,6,6
ipdsl-ags-vinedo-15,0,24,38
ipdsl-edo-satelite-3,0,17,27
ipdsl-mor-mirador-36,0,12,21
ipdsl-pue-ctp-61,0,8,13
ipdsl-jal-dominguez-2,0,5,6
ipdsl-pue-ctp-60,0,18,36
ipdsl-nvl-valle-16,0,4,5
ipdsl-nvl-santafe-27,1,9,75
ipdsl-nvl-anahuac-36,0,12,18
ipdsl-nvl-anahuac-38,0,23,39
ipdsl-jal-ctg-74,0,6,5
ipdsl-mex-tlahuac-5,0,1,4
ipdsl-tam-padremier-32,0,13,20
ipdsl-mex-xochimilco-5,0,6,5
ipdsl-mex-lago-5,0,24,40
bb-bcn-piopico-22,0,35,4
bb-mex-ctsj-61,1,46,NA
bb-nvl-mayo-86,1,50,NA
bb-jal-tlaquepaque-65,2,41,NA
bb-son-yanez-70,2,31,NA
bb-son-garmendia-48,0,1,NA
bb-pue-fuertes-67,2,4,NA
bb-nvl-revolucion-65,1,38,NA
bb-mex-culhuacan-66,0,1,NA
bb-pue-ctp-57,1,48,NA
bbint-baires-olleros-11,0,29,1
bbint-baires-juangaray-8,1,0,NA
bb-miami-americas-25,0,29,49
bb-la-grand-7,1,0,92
bb-dallas-bryan-19,0,0,60
bb-la-onewilshire-17,2,5,71
bb-dallas-bryan-18,2,0,78
bb-la-onewilshire-16,0,40,71
bbint-miami-americas-21,0,51,19
bbint-miami-americas-20,1,1,15
bb-bcn-arbol-15,0,37,4
